OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
47,11243,吉川市,5.346059706,8.011861944,4.153748608,1.216373539,0.924532903,0,0.61023058,1.30190493,4.619845783,3.085587564,0.670485945,1.595391091,1.864848322,3.840331968,4.551582435,4.298388147,2.359019814,4.919212645,1.587259077,11.17751313,0.539043918,,5.837223419,0.810608391,3.852716674,2.854057716,5.858278524,,3.842576945,19.21288472
48,11245,ふじみ野市,8.009723046,10.71164113,5.320848825,1.387784988,1.244252474,0.108676913,1.221266811,3.480828549,5.604417632,4.715573605,0.766304852,3.432630608,3.647106986,6.781022082,6.540673342,6.430150914,2.151898289,5.605590356,1.271833646,11.8442706,1.387507248,,8.014071001,1.488561947,5.159995618,4.06969012,6.615888924,,5.069641522,25.34820761
49,11246,白岡市,3.607802416,5.902258875,4.354418832,0.58668065,0.491193218,0,0.953859276,1.254269976,4.706675437,4.01903402,0.151644136,1.80815732,1.939121637,2.856146467,3.514401723,3.48288189,1.80352372,3.114888415,0.865970301,4.215852475,1.557085835,,4.621493374,0.657200624,4.362854728,2.170748401,2.886469155,,2.939753257,14.69876628
50,11301,伊奈町,4.73392418,8.07991297,3.884962192,0.600152605,0.639923781,0,1.403879524,3.874113941,4.41287797,2.93231788,0.730435505,1.990608541,1.859848246,1.396636274,4.271425271,4.699665866,1.923567113,4.441044156,1.149022974,11.85752173,2.649421635,,5.566266448,1.30361397,3.672597925,2.495805994,7.253471682,,4.058351204,20.29175602
51,11324,三芳町,5.071784813,8.24994244,2.885929009,0.76562659,0.236131429,0,1.371752255,3.950859961,4.391434028,2.885252289,0.015290684,0.25109064,0.145051014,4.286112078,3.820981186,4.452149221,1.83709134,2.486432918,0.433741921,9.436588402,0,,5.402552088,1.264874047,3.638343159,1.969771222,4.718294201,,3.398766943,16.99383472
52,11326,毛呂山町,4.209086891,6.774970378,2.960007149,0.50028574,0.952496995,0,0.888714418,0.817567837,4.295107605,1.338461148,0.895875221,2.689360071,2.442890258,3.233001973,4.592194574,5.278124032,2.471625058,1.847416447,1.484340066,10.93499565,2.995588103,,4.648021473,0.631812998,2.816784376,2.770536411,6.965291877,,3.566489427,17.83244714
53,11327,越生町,2.144930591,1.991730857,0.613375194,0.133838695,0.150936997,0,0.560582625,1.371233006,1.39110401,0,1.201217774,0.934270065,0,1.97820816,0.822748527,2.753141979,0,1.823883131,0.932724398,6.939838623,2.330785761,,1.583345547,0.443318264,0.695552005,1.160688226,4.635312192,,1.703643247,8.518216235
54,11341,滑川町,1.036063444,4.14246038,2.486402276,0.170291965,0.034094399,0,0.390619045,2.736471465,1.608906474,1.9679048,0.190159804,0.755289224,0.489729488,0.760459093,1.903359703,1.608110006,0.277335237,0.344209636,0.270003098,10.47436107,1.424877725,,2.554975367,0.666295375,1.788405637,0.733183921,5.949619395,,2.338495939,11.69247969
55,11342,嵐山町,0.785758561,4.745447762,5.113948851,0.741998485,1.21604424,0,1.908153352,1.611008256,3.578283213,2.448488611,0.048586734,1.871018308,1.808697581,3.894844071,3.889174216,2.696827826,2.911278454,3.39776367,1.737966044,10.35805437,1.704605344,,3.548385058,1.095440867,3.013385912,2.472906323,6.031329859,,3.232289604,16.16144802
56,11343,小川町,2.984870066,3.812922767,2.024305916,0.343918128,0,0,0.686084369,1.417365704,2.47073276,1.317657361,0.982243786,1.55535538,1.343417291,3.29487328,2.998698982,2.925839568,0.935460568,1.812492643,1.000733246,7.478794943,1.313762803,,2.940699583,0.48947364,1.894195061,1.87212386,4.396278873,,2.318554203,11.59277102
